program_id,pathway_id,course_id,semester,year
62,1,EN072,1,1
62,1,EN073,1,1
62,1,PT001,1,1
62,1,EN074,2,1
62,1,EN075,2,1
62,1,IT135,2,1
62,1,PH013,2,1
62,1,PT002,2,1
62,1,IT149,3,1
62,1,MA001,3,1
62,1,CH011,1,2
62,1,CH012,1,2
62,1,IT013,1,2
62,1,IT069,1,2
62,1,IT137,1,2
62,1,MA003,1,2
62,1,PH014,1,2
62,1,IT079,2,2
62,1,IT090,2,2
62,1,IT136,2,2
62,1,IT138,2,2
62,1,IT151,2,2
62,1,MA023,2,2
62,1,EN007,1,3
62,1,EN008,1,3
62,1,IT097,1,3
62,1,IT139,1,3
62,1,IT140,1,3
62,1,MA026,1,3
62,1,PE011,1,3
62,1,EN011,2,3
62,1,EN012,2,3
62,1,IT132,2,3
62,1,IT142,2,3
62,1,PE008,2,3
62,1,PE012,2,3
62,1,IT082,3,3
62,1,IS021,1,4
62,1,IT083,1,4
62,1,IT143,1,4
62,1,IT144,1,4
62,1,IT145,1,4
62,1,IT146,1,4
62,1,PE013,1,4
62,1,PE014,1,4
62,1,ISME105,2,4
62,1,IT056,2,4
62,1,IT058,2,4
62,1,IT094,2,4
62,1,IT120,2,4
62,1,IT141,2,4
62,1,IT147,2,4
62,1,IT148,2,4
62,1,IT150,2,4
62,1,IT152,2,4
62,2,EN074,1,1
62,2,EN075,1,1
62,2,IT135,1,1
62,2,PH013,1,1
62,2,PT001,1,1
62,2,EN007,2,1
62,2,EN008,2,1
62,2,IT136,2,1
62,2,IT149,2,1
62,2,IT151,2,1
62,2,MA001,2,1
62,2,PH014,2,1
62,2,PT002,2,1
62,2,EN011,3,1
62,2,EN012,3,1
62,2,MA003,3,1
62,2,IT013,1,2
62,2,IT069,1,2
62,2,IT137,1,2
62,2,MA023,1,2
62,2,PE011,1,2
62,2,PE014,1,2
62,2,CH011,2,2
62,2,CH012,2,2
62,2,IT079,2,2
62,2,IT090,2,2
62,2,IT138,2,2
62,2,PE012,2,2
62,2,IT097,1,3
62,2,IT139,1,3
62,2,IT140,1,3
62,2,MA026,1,3
62,2,PE013,1,3
62,2,IS021,2,3
62,2,IT132,2,3
62,2,IT142,2,3
62,2,IT144,2,3
62,2,IT145,2,3
62,2,IT146,2,3
62,2,PE008,2,3
62,2,IT082,3,3
62,2,ISME105,1,4
62,2,IT056,1,4
62,2,IT083,1,4
62,2,IT094,1,4
62,2,IT120,1,4
62,2,IT141,1,4
62,2,IT143,1,4
62,2,IT147,1,4
62,2,IT148,1,4
62,2,IT150,1,4
62,2,IT152,1,4
62,2,IT058,2,4
62,5,CH011,1,1
62,5,CH012,1,1
62,5,EN007,1,1
62,5,EN008,1,1
62,5,IT135,1,1
62,5,MA001,1,1
62,5,PH013,1,1
62,5,PT001,1,1
62,5,EN011,2,1
62,5,EN012,2,1
62,5,IT136,2,1
62,5,IT149,2,1
62,5,IT151,2,1
62,5,MA003,2,1
62,5,PH014,2,1
62,5,PT002,2,1
62,5,IT013,1,2
62,5,IT069,1,2
62,5,IT137,1,2
62,5,MA023,1,2
62,5,PE014,1,2
62,5,IT079,2,2
62,5,IT090,2,2
62,5,IT138,2,2
62,5,PE011,2,2
62,5,IT097,1,3
62,5,IT139,1,3
62,5,IT140,1,3
62,5,MA026,1,3
62,5,PE012,1,3
62,5,IS021,2,3
62,5,IT132,2,3
62,5,IT142,2,3
62,5,IT144,2,3
62,5,IT145,2,3
62,5,IT146,2,3
62,5,PE008,2,3
62,5,PE013,2,3
62,5,IT082,3,3
62,5,ISME105,1,4
62,5,IT056,1,4
62,5,IT083,1,4
62,5,IT094,1,4
62,5,IT120,1,4
62,5,IT141,1,4
62,5,IT143,1,4
62,5,IT147,1,4
62,5,IT148,1,4
62,5,IT150,1,4
62,5,IT152,1,4
62,5,IT058,2,4
63,1,EN072,1,1
63,1,EN073,1,1
63,1,PT001,1,1
63,1,EN074,2,1
63,1,EN075,2,1
63,1,IT149,2,1
63,1,PT002,2,1
63,1,IT135,3,1
63,1,MA001,3,1
63,1,PE015,3,1
63,1,PE016,3,1
63,1,CH011,1,2
63,1,CH012,1,2
63,1,IT069,1,2
63,1,IT137,1,2
63,1,MA003,1,2
63,1,PE017,1,2
63,1,PH013,1,2
63,1,IT013,2,2
63,1,IT079,2,2
63,1,IT090,2,2
63,1,IT136,2,2
63,1,IT138,2,2
63,1,IT151,2,2
63,1,PE018,3,2
63,1,EN007,3,2
63,1,EN008,3,2
63,1,PH014,3,2
63,1,IT154,1,3
63,1,PE019,1,3
63,1,EN011,1,3
63,1,EN012,1,3
63,1,IT139,1,3
63,1,IT140,1,3
63,1,MA026,1,3
63,1,PE008,1,3
63,1,IT097,2,3
63,1,IT132,2,3
63,1,IT142,2,3
63,1,IT082,3,3
63,1,IS021,1,4
63,1,IT083,1,4
63,1,IT143,1,4
63,1,IT144,1,4
63,1,IT145,1,4
63,1,IT146,1,4
63,1,PE014,1,4
63,1,ISME105,2,4
63,1,IT056,2,4
63,1,IT058,2,4
63,1,IT094,2,4
63,1,IT120,2,4
63,1,IT141,2,4
63,1,IT147,2,4
63,1,IT148,2,4
63,1,IT150,2,4
63,1,IT152,2,4
63,2,EN074,1,1
63,2,EN075,1,1
63,2,IT135,1,1
63,2,PH013,1,1
63,2,PT001,1,1
63,2,EN007,2,1
63,2,EN008,2,1
63,2,IT136,2,1
63,2,IT149,2,1
63,2,IT151,2,1
63,2,MA001,2,1
63,2,PH014,2,1
63,2,PT002,2,1
63,2,EN011,3,1
63,2,EN012,3,1
63,2,MA003,3,1
63,2,PE015,3,1
63,2,IT154,1,2
63,2,IT069,1,2
63,2,IT137,1,2
63,2,PE014,1,2
63,2,PE016,1,2
63,2,CH011,2,2
63,2,CH012,2,2
63,2,IT013,2,2
63,2,IT079,2,2
63,2,IT090,2,2
63,2,IT138,2,2
63,2,PE017,2,2
63,2,PE018,1,3
63,2,IT139,1,3
63,2,IT140,1,3
63,2,MA026,1,3
63,2,PE008,1,3
63,2,PE019,2,3
63,2,IS021,2,3
63,2,IT097,2,3
63,2,IT132,2,3
